Unnamed: 0.1,name,club_x,Unnamed: 0,nationality,position,club_y,birth_year,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,"aerials_lost,",FC 25,FC 24,FIFA 23,FIFA 22,FIFA 21,FIFA 20,FIFA 19,FIFA 18,FIFA 17,FIFA 16,FIFA 15,FIFA 14/25,FIFA 13,FIFA 12,FIFA 11,FIFA 10,FIFA 09,FIFA 08,FIFA 07,injury_type,start_date,end_date,duration,injury_year
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,ankle injury,2020-12-18,2020-12-21,3.0,2020.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,groin injury,2020-11-01,2020-11-07,6.0,2020.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,knock,2020-07-23,2020-07-31,8.0,2020.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,knock,2020-01-02,2020-01-09,7.0,2020.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,hamstring injury,2019-12-11,2019-12-13,2.0,2019.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,groin injury,2019-10-06,2019-10-24,18.0,2019.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,knee injury,2019-04-10,2019-05-31,51.0,2019.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,head injury,2019-03-03,2019-03-08,5.0,2019.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,fractured toe,2019-02-24,2019-03-01,5.0,2019.0
145.0,aaron-cresswell,West Ham United,514.0,eng ENG,DF,West Ham,1989.0,14.0,14.0,1240.0,2.0,0.0,13.8,0.0,5.0,2.0,680.0,867.0,11118.0,5112.0,409.0,296.0,120.0,704.0,161.0,20.0,1.0,3.0,81.0,32.0,13.0,6.0,6.0,10.0,13.0,14.0,33.0,0.0,950.0,950.0,6.0,3.0,5.0,583.0,7.0,5.0,68.0,22.0,"13.0,",74.0,77.0,,,,,,,,,,,,,,,,,,foot injury,2019-02-06,2019-02-08,2.0,2019.0
